,object_id,object_type,size,min_velocity,avg_velocity,max_velocity,x,y,cluster_id
109,4123,20,1798,6.254735601398012,8.507282914281932,10.848977688495287,290,346,0
110,4143,20,224,5.370431249518082,14.001776876835242,22.633122504152396,328,327,1
111,4149,20,6231,15.16160521998538,17.805823408062576,19.793980564313102,320,346,1
112,4225,20,1833,11.080890444688382,12.968216603903313,14.084184669781209,337,345,1
113,4229,20,5198,8.601138984851639,11.508570180370127,13.28125,337,352,1
114,4275,20,2808,2.2113829791387274,7.181472409991317,14.999814359881926,291,375,1
115,4308,20,682,1.4285714285714286,2.634803351831017,3.763023979416796,323,375,0
116,4347,100,780,1.937278852565884,4.28061512069587,12.163847404233145,339,324,0
117,4359,100,204,2.064545346530066,4.8809617149601765,6.279069537987319,329,355,0
118,4378,100,836,2.9039843863633634,5.947878103445162,8.281733249999222,364,358,0
119,4392,100,260,2.521364528296496,5.163584561548653,7.258064516129032,382,345,0
120,4393,100,406,4.5057500224431255,5.905248621265867,6.849315068493151,380,352,0
121,4395,100,330,2.521364528296496,5.683831586900053,11.973003477479288,380,344,0
122,4402,100,125,1.4184397163120568,3.4236050937779567,6.883476452822528,293,326,0
123,4403,20,180,3.5211267605633805,6.197653836747622,10.085458113185984,323,376,0
124,4418,100,224,3.792369582489087,7.188593240383381,12.995661617130327,368,340,0
125,4421,20,96,4.376088151293683,16.142817092140866,36.589281356759145,372,357,1
126,4427,20,322,2.4527559697033943,2.862318191997385,3.4965034965034967,343,377,0
127,4445,100,330,3.3112582781456954,4.857003484854512,6.650170363899453,332,334,0
128,4452,20,56,3.739697782732295,5.257325266902459,6.680868296130379,301,358,0
129,4477,100,1365,3.2141217326661247,3.9511620069405833,5.313095017623574,351,327,0
130,4496,100,300,8.466191950095721,8.466191950095721,8.466191950095721,339,325,0
131,4499,100,1952,1.0553832555023095,2.6441085363939045,4.8279048246845475,374,341,0
132,4567,100,330,3.4013605442176877,4.016932294976033,4.376088151293683,375,324,0
133,4576,20,32,3.4246575342465757,5.360622989018823,7.354021529276428,304,352,0
134,4582,100,684,5.384615384615384,5.574040229206368,5.758755534498963,312,377,0
135,4594,100,756,1.6441676305145512,5.182435914340688,9.027777777777775,367,355,0
136,4628,20,418,4.684855792842043,8.628972432484753,13.038848447411516,292,351,0
137,4662,20,28,2.7314782389878705,5.275810108846224,15.078733367162908,289,377,0
